ligne_source,fournisseur_colonne_A,dlc_ddm,produit,pu_ht,multiple_de_commande,tva,note_fournisseur
37,BISCUITERIE DE QUINEVILLE,6 MOIS,Tuiles chocolat lacté 150gr,6.6,6/,0.2,
38,BISCUITERIE DE QUINEVILLE,6 MOIS,Tuiles chocolat noir et lacté 200gr,8.3,6/,0.2,
39,BISCUITERIE DE QUINEVILLE,4 MOIS,Pâte de pommes 300 grs,4.8,6/,0.2,
40,BISCUITERIE DE QUINEVILLE,4 MOIS,Batonnet feuilleté noir 200 grs,6.95,6/,0.055,
41,BISCUITERIE DE QUINEVILLE,4 MOIS,Grignotines amandes noisettes 200 grs,7.4,6/,0.055,
42,FERME DE LA CHOUQUERIE,24 MOIS,Teurgoule nature 280 g,3.82,12/,0.055,
43,FERME DE LA CHOUQUERIE,24 MOIS,Teurgoule nature 500 g,6.34,6/,0.055,
44,FERME DE LA CHOUQUERIE,24 MOIS,Teurgoule nature 740 g,8.5,6/,0.055,
45,FERME DE LA CHOUQUERIE,24 MOIS,Teurgoule cannelle 280 g,3.82,12/,0.055,
46,FERME DE LA CHOUQUERIE,24 MOIS,Teurgoule cannelle 500 g,6.34,6/,0.055,
47,FERME DE LA CHOUQUERIE,24 MOIS,Teurgoule cannelle 740 g,8.5,6/,0.055,
48,FERME DE L'ISLE,12 MOIS,Confiture de lait nature 250 g,3.05,20 /,0.055,Panachable en 2x10 par carton
49,FERME DE L'ISLE,12 MOIS,Confiture de lait éclats de pralin 250 g,3.42,20 /,0.055,Panachable en 2x10 par carton
50,FERME DE L'ISLE,12 MOIS,Confiture de lait chocolat 250 g / 20 P,3.42,20 /,0.055,Panachable en 2x10 par carton
51,FERME DE L'ISLE,12 MOIS,Confiture de lait fleur sel Guérande 250 g / 20 P,3.42,20 /,0.055,Panachable en 2x10 par carton
52,CONFITURES DU PÈRE ROUPSARD,36 MOIS,Confiture figue 280 grs,3.1,/6,0.055,
53,CONFITURES DU PÈRE ROUPSARD,36 MOIS,Confiture orange 280 grs,3.1,/6,0.055,
54,CONFITURES DU PÈRE ROUPSARD,36 MOIS,Confiture framboise 280 grs,3.1,/6,0.055,
55,CONFITURES DU PÈRE ROUPSARD,36 MOIS,Confiture mure 280 grs,3.1,/6,0.055,
56,CONFITURES DU PÈRE ROUPSARD,36 MOIS,Confiture fraise 280 grs,3.1,/6,0.055,
57,CONFITURES DU PÈRE ROUPSARD,36 MOIS,Confiture abricot 280 grs,3.1,/6,0.055,
58,CONFITURES DU PÈRE ROUPSARD,36 MOIS,Confiture de rhubarbe 280 grs,3.1,/6,0.055,
59,CONFITURES DU PÈRE ROUPSARD,37 MOIS,Confiture de Myrtilles 280 grs NOUVEAU,3.1,/6,0.055,
60,CONFITURES DU PÈRE ROUPSARD,38 MOIS,Confiture de Fraise Ananas 280 grs NOUVEAU,3.1,/6,0.055,
61,CONFITURES DU PÈRE ROUPSARD,36 MOIS,Confiture pomme au cidre 280 grs,3.1,/6,0.055,
62,CONFITURES DU PÈRE ROUPSARD,36 MOIS,Confiture pomme caramel 280 grs,3.1,/6,0.055,
63,CONFITURES DU PÈRE ROUPSARD,36 MOIS,Confiture pomme rhubarbe 280 grs,3.1,/6,0.055,
64,CONFITURES DU PÈRE ROUPSARD,36 MOIS,Confiture fraise rhubarbe 280 grs,3.1,/6,0.055,
65,CONFITURES DU PÈRE ROUPSARD,36 MOIS,Confiture fruits rouges 280 grs,3.1,/6,0.055,
66,LE PÈRE ROUPSARD,36 MOIS,Confit de cidre 100 gr,1.98,/12,0.055,
67,LE PÈRE ROUPSARD,36 MOIS,Confit de poiré 100 gr,1.98,/12,0.055,
68,LE PÈRE ROUPSARD,36 MOIS,Moutarde pommeau 100 gr,2.6,/12,0.055,
69,LE PÈRE ROUPSARD,36 MOIS,Moutarde Calvados 100 gr,2.6,/12,0.055,
70,LE PÈRE ROUPSARD,36 MOIS,Moutarde pomme 100 gr,2.6,/12,0.055,
71,LE PÈRE ROUPSARD,36 MOIS,Moutarde framboise 100 gr,2.6,/12,0.055,
72,LE PÈRE ROUPSARD,36 MOIS,Confit d'oignons 100 gr,3.02,/12,0.055,
73,LE PÈRE ROUPSARD,36 MOIS,Chutney de figue 100 gr,3.02,/12,0.055,
74,LE PÈRE ROUPSARD,36 MOIS,Chutney de pomme 100 gr,3.02,/12,0.055,
75,LE PÈRE ROUPSARD DESSERT,36 MOIS,Riz au lait de Normandie 180 gr,2.25,/6,0.055,
