id_produit,nom_produit,tag,origine_du_tag,statut
PROD-0209,Rillettes de truite 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0210,Rillettes de truite à l'aneth fraîche 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0211,Rillettes de truite moutarde ancienne 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0212,Rillettes lieu andouille de Vire 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0213,rillettes sardine à la tomate 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0214,Rillettes sardine confit d'oignon 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0215,Rillettes saumon à l'andouille de Vire 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0216,Rillettes saumon au curry 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0217,Rillettes saumon camembert 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0218,Rillettes saumon chèvre 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0219,Mousse de saumon 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0220,Mousse de truite 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0221,Rouille 85 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0222,"Café ""la tasse de Lola"" 250 grs",FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0223,"Café grains ""la tasse de Lola"" 250 grs",FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0224,Thé noir  God save the tea,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0225,Thé noir Vahiné,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0226,Thé noir Blue twist,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0227,Thé noir Back in Black,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0228,Thé noir Jeu de l'agrume,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0229,Thé vert Chaud Mojito,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0230,Thé vert Tasse de Génie,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0231,Thé vert Hakuna Matatasse,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0232,Thé vert Jardin d'agrumes,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0233,Thé vert Rouge aux joues,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0234,Thé blanc Blanc de poire,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0235,Thé blanc Tasse des Bois,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0236,Thé blanc White Sweetness,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
